position_id,ticker,status,expiry,strike,contracts,credit_received,current_mark,opened_date,purpose,strategy_tag,reason,event_completed,notes
AMD-1,AMD,EMPTY,,,1,,,,Income,Income,,FALSE,
AMD-2,AMD,EMPTY,,,1,,,,Income,Income,,FALSE,
AMD-3,AMD,EMPTY,,,1,,,,Income,Income,,FALSE,
AMD-4,AMD,EMPTY,,,1,,,,Income,Income,,FALSE,
HIMS-1,HIMS,EMPTY,,,1,,,,Trading,High IV,,FALSE,
HIMS-2,HIMS,EMPTY,,,1,,,,Trading,High IV,,FALSE,
HIMS-3,HIMS,EMPTY,,,1,,,,Trading,High IV,,FALSE,
HIMS-4,HIMS,EMPTY,,,1,,,,Trading,High IV,,FALSE,
TSLA-1,TSLA,EMPTY,,,1,,,,Trading,Momentum,,FALSE,
NOW-1,NOW,EMPTY,,,1,,,,Income,Resistance,,FALSE,
